순위,이름,팀,포지션,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wRC+
1,문현빈,한화,LF,2.68,38,2.27,0.42,180,180,151,28,47,10,3,8,87,30,2,1,27,2,0,19,5,0,0,0.311,0.422,0.576,0.998,176.1
2,박성한,SSG,SS,2.47,40,2.81,-0.34,185,185,150,32,55,10,1,3,76,27,5,1,32,1,0,19,2,0,2,0.367,0.476,0.507,0.983,168.7
3,김도영,KIA,3B,2.47,41,2.13,0.34,178,176,150,30,42,8,1,12,88,35,2,0,25,2,3,28,5,0,1,0.28,0.388,0.587,0.975,161.9
4,류지혁,삼성,2B,2.29,38,2.1,0.19,159,158,136,23,46,9,2,4,71,26,10,1,20,3,1,21,2,0,0,0.338,0.434,0.522,0.956,157.6
5,오스틴,LG,1B,2.13,40,2.4,-0.27,186,186,165,31,58,10,3,9,101,32,0,1,18,2,1,22,3,0,1,0.352,0.419,0.612,1.031,190.6
6,페라자,한화,RF,2.1,40,2.01,0.09,190,189,157,37,52,10,0,7,83,26,5,3,29,0,1,32,3,1,3,0.331,0.429,0.529,0.958,162.4
7,김주원,NC,SS,2.08,40,1.55,0.52,176,175,152,21,42,6,0,6,66,15,9,1,16,5,0,26,0,1,2,0.276,0.36,0.434,0.794,108.1
8,박민우,NC,2B,1.92,38,1.69,0.24,163,163,138,26,44,11,0,1,58,26,17,3,20,4,0,19,3,0,1,0.319,0.417,0.42,0.837,129.2
9,정준재,SSG,2B,1.76,37,1.4,0.36,133,130,111,23,35,5,3,1,49,16,6,1,16,1,0,20,2,3,2,0.315,0.4,0.441,0.841,130.7
10,최원준,KT,RF,1.67,39,1.58,0.09,190,188,161,29,55,11,1,1,71,20,11,5,22,3,0,29,1,2,2,0.342,0.426,0.441,0.867,137.2
11,최형우,삼성,DH,1.63,39,1.7,-0.07,178,177,140,23,49,8,0,7,78,28,0,0,32,3,1,16,5,0,3,0.35,0.472,0.557,1.029,173.8
12,박준순,두산,2B,1.59,39,1.63,-0.05,167,167,155,18,49,7,3,6,80,27,1,1,9,3,0,32,4,0,0,0.316,0.365,0.516,0.881,144.3
13,최정,SSG,3B,1.44,39,1.66,-0.22,173,173,142,24,39,8,1,11,82,28,3,1,25,3,3,38,0,0,3,0.275,0.387,0.577,0.964,153
14,레이예스,롯데,LF,1.4,39,1.35,0.04,176,173,159,18,55,11,0,6,84,26,1,0,14,2,3,23,2,0,1,0.346,0.403,0.528,0.931,143.8
15,강백호,한화,DH,1.4,40,1.4,0,183,183,161,27,53,11,0,8,88,41,0,0,21,0,0,33,4,0,1,0.329,0.404,0.547,0.951,155.7
16,허인서,한화,C,1.37,32,1.27,0.1,96,93,82,22,26,2,0,8,52,25,0,1,8,2,1,25,0,2,2,0.317,0.383,0.634,1.017,164
17,한준수,KIA,C,1.36,34,1.18,0.18,113,108,88,12,25,7,0,3,41,11,0,0,20,0,2,15,5,4,1,0.284,0.413,0.466,0.879,147
18,박찬호,두산,SS,1.31,41,1.22,0.09,182,177,154,30,40,7,0,3,56,13,13,1,22,1,1,30,5,4,1,0.26,0.354,0.364,0.718,102
19,힐리어드,KT,LF,1.31,40,1.39,-0.08,182,182,157,33,41,6,2,11,84,35,3,1,21,0,0,50,2,0,4,0.261,0.341,0.535,0.876,129.2
20,송찬의,LG,LF,1.27,23,1.04,0.23,84,84,66,15,19,3,0,5,37,14,0,0,10,8,0,18,4,0,0,0.288,0.44,0.561,1.001,179.3
21,카메론,두산,RF,1.19,41,1.46,-0.27,172,172,153,24,47,13,2,6,82,21,7,0,16,2,0,34,5,0,1,0.307,0.378,0.536,0.914,152.7
22,전민재,롯데,SS,1.15,38,0.53,0.62,130,129,117,9,33,5,0,1,41,14,4,2,10,1,0,26,2,1,1,0.282,0.341,0.35,0.691,80.7
23,안현민,KT,RF,1.09,14,1.15,-0.06,67,67,52,14,19,4,1,3,34,11,1,0,12,3,0,16,1,0,0,0.365,0.507,0.654,1.161,215.4
24,정수빈,두산,CF,1.08,40,0.72,0.36,157,153,132,18,34,1,2,2,45,16,9,3,18,3,0,25,0,4,0,0.258,0.359,0.341,0.7,102
25,문보경,LG,DH,1.06,30,1.04,0.02,132,131,100,14,31,3,0,3,43,19,0,0,29,1,2,21,3,0,2,0.31,0.462,0.43,0.892,170.3
26,전병우,삼성,3B,1.05,34,0.89,0.17,126,126,105,19,29,8,0,3,46,22,1,0,14,6,0,28,4,0,1,0.276,0.389,0.438,0.827,122.4
27,디아즈,삼성,1B,1.03,40,0.67,0.37,180,180,155,25,47,6,0,5,68,30,0,0,22,0,1,24,6,0,3,0.303,0.383,0.439,0.822,116.4
28,심우준,한화,SS,1.03,32,0.88,0.15,115,114,97,22,26,4,0,2,36,15,6,1,15,2,0,21,1,1,0,0.268,0.377,0.371,0.748,109.8
29,장성우,KT,DH,1.02,40,1.05,-0.03,167,165,134,25,30,8,0,8,62,34,1,0,31,1,3,39,8,0,1,0.224,0.371,0.463,0.834,129.3
30,김선빈,KIA,2B,1.01,40,0.86,0.14,170,169,142,19,41,9,0,1,53,18,0,0,26,1,1,17,3,0,1,0.289,0.4,0.373,0.773,118
31,이우성,KIA,LF,1,37,0.87,0.13,136,135,127,15,47,9,0,4,68,12,1,1,8,0,0,18,3,1,0,0.37,0.407,0.535,0.942,146.6
32,박승규,삼성,RF,0.98,27,0.98,0,121,121,104,21,32,4,2,5,55,16,3,0,13,3,0,14,1,0,1,0.308,0.397,0.529,0.926,145.7
33,김호령,KIA,CF,0.98,40,0.79,0.19,180,175,160,25,44,12,1,4,70,18,5,2,11,3,1,42,1,5,1,0.275,0.331,0.438,0.769,102.4
34,김상수,KT,2B,0.97,38,1.05,-0.08,156,153,125,15,39,4,0,0,43,11,0,3,26,1,0,15,4,3,1,0.312,0.431,0.344,0.775,122.6
35,문성주,LG,LF,0.81,26,0.76,0.05,97,94,82,6,30,6,0,0,36,12,1,1,9,2,2,11,0,2,2,0.366,0.432,0.439,0.871,150.5
36,박재현,키움,RF,0.81,38,1.11,-0.3,143,140,129,21,41,7,0,6,66,22,8,1,11,0,0,25,1,3,0,0.318,0.371,0.512,0.883,132.4
37,노시환,한화,3B,0.8,33,0.65,0.15,155,154,138,27,36,6,0,7,63,25,0,1,11,3,0,43,3,1,2,0.261,0.325,0.457,0.782,103.6
38,김지찬,삼성,CF,0.8,39,0.65,0.15,152,151,127,25,32,4,2,0,40,7,5,0,21,2,1,10,2,1,1,0.252,0.364,0.315,0.679,92.1
39,박주홍,키움,LF,0.79,34,0.78,0.02,121,121,102,13,27,6,1,2,41,7,3,0,15,4,0,32,2,0,0,0.265,0.38,0.402,0.782,132.5
40,박건우,NC,RF,0.73,40,0.86,-0.12,156,154,129,18,34,6,0,8,64,26,5,1,23,0,3,32,2,0,4,0.264,0.365,0.496,0.861,128.2
41,이재현,삼성,SS,0.65,22,0.63,0.02,81,80,65,12,14,2,0,3,25,11,0,0,12,2,0,10,0,1,1,0.215,0.35,0.385,0.735,96.1
42,안치홍,키움,DH,0.63,40,0.75,-0.12,175,174,154,15,44,8,0,3,61,15,0,0,20,1,1,25,6,0,0,0.286,0.371,0.396,0.767,122.6
43,홍창기,LG,RF,0.61,36,0.38,0.23,161,160,121,18,24,4,1,0,30,11,2,0,33,5,0,34,5,1,1,0.198,0.388,0.248,0.636,105.4
44,나성범,KIA,RF,0.6,37,0.57,0.02,152,152,129,18,33,6,0,6,57,20,0,0,18,3,0,44,1,0,2,0.256,0.355,0.442,0.797,113.6
45,박해민,LG,CF,0.55,40,0.12,0.43,151,145,126,14,34,6,0,0,40,16,11,3,11,3,0,20,0,6,5,0.27,0.331,0.317,0.648,76.1
46,최지훈,SSG,CF,0.54,40,0.28,0.26,171,170,156,28,36,9,1,6,65,26,6,0,11,2,0,23,3,1,1,0.231,0.288,0.417,0.705,79.5
47,박동원,LG,C,0.5,35,0.45,0.05,126,125,105,14,24,5,0,2,35,14,0,1,15,3,1,32,4,1,2,0.229,0.336,0.333,0.669,90.1
48,이주형,키움,CF,0.5,23,0.51,-0.01,102,101,93,12,23,9,1,2,40,12,4,0,5,3,0,21,0,1,0,0.247,0.307,0.43,0.737,100.7
49,고명준,SSG,1B,0.49,17,0.58,-0.1,68,68,63,9,23,5,0,4,40,12,1,0,5,0,0,14,0,0,0,0.365,0.412,0.635,1.047,171
50,김현수,KT,1B,0.43,40,0.22,0.21,186,186,168,21,50,11,0,3,70,29,0,2,17,0,0,21,7,0,1,0.298,0.36,0.417,0.777,106.2
51,김성윤,삼성,RF,0.4,23,0.29,0.11,83,82,73,12,19,4,1,1,28,11,5,1,7,2,0,14,0,1,0,0.26,0.341,0.384,0.725,91.2
52,한석현,NC,RF,0.39,33,0.38,0.01,86,83,76,9,25,2,0,1,30,13,1,0,4,2,0,14,1,3,1,0.329,0.373,0.395,0.768,100.6
53,김태연,한화,1B,0.38,32,0.22,0.16,86,79,69,12,19,1,0,2,26,5,1,1,9,1,0,12,2,7,0,0.275,0.367,0.377,0.744,105
54,천성호,KT,3B,0.35,39,0.66,-0.31,144,142,130,22,39,7,1,1,51,15,4,0,11,1,1,19,4,2,0,0.3,0.359,0.392,0.751,110.6
55,구자욱,삼성,LF,0.31,23,0.5,-0.19,94,93,84,14,26,2,1,4,42,15,0,1,8,0,2,14,0,0,2,0.31,0.362,0.5,0.862,119.5
56,이원석,한화,CF,0.3,31,0.43,-0.12,92,90,82,12,26,2,2,1,35,10,1,3,7,1,0,15,1,2,0,0.317,0.378,0.427,0.805,123.3
57,윤동희,롯데,RF,0.26,30,-0.02,0.28,119,118,103,15,21,7,0,3,37,8,0,1,14,2,2,29,3,0,0,0.204,0.311,0.359,0.67,79.6
58,김민석,두산,LF,0.26,36,0.43,-0.18,129,128,113,16,31,7,1,1,43,13,1,0,14,0,0,29,1,1,1,0.274,0.352,0.381,0.733,105.4
59,강민호,삼성,C,0.26,30,0.34,-0.08,93,93,81,5,19,5,0,1,27,13,0,2,11,1,0,26,1,0,0,0.235,0.333,0.333,0.666,80.8
60,에레디아,SSG,LF,0.25,40,-0.06,0.31,177,177,162,18,45,6,0,5,66,37,0,2,9,2,0,35,3,0,4,0.278,0.316,0.407,0.723,81.4
61,오지환,LG,SS,0.25,37,0.53,-0.29,133,129,112,13,28,5,0,2,39,22,1,1,13,2,0,20,1,4,2,0.25,0.333,0.348,0.681,88.5
62,안재석,두산,3B,0.24,23,0.18,0.06,96,96,87,14,20,6,0,3,35,10,2,0,7,1,0,13,2,0,1,0.23,0.292,0.402,0.694,82.9
63,장두성,롯데,CF,0.24,36,0.17,0.07,87,86,80,11,22,2,1,0,26,6,7,0,4,2,0,19,0,1,0,0.275,0.326,0.325,0.651,70.4
64,한승택,KT,C,0.24,28,0.08,0.16,78,76,65,8,12,2,0,1,17,8,0,0,9,2,0,22,1,2,0,0.185,0.303,0.262,0.565,56.7
65,데이비슨,NC,1B,0.21,32,0.21,0,128,128,114,14,31,7,0,5,53,19,1,0,6,7,0,27,2,0,1,0.272,0.344,0.465,0.809,108.5
66,오윤석,KT,1B,0.2,26,0.04,0.16,81,80,73,11,23,4,0,0,27,12,0,1,6,0,1,17,2,1,1,0.315,0.363,0.37,0.733,92.9
67,김민혁,KT,LF,0.2,21,0.32,-0.12,92,90,82,11,27,2,0,1,32,7,1,1,8,0,0,10,2,2,0,0.329,0.389,0.39,0.779,111.7
68,데일,KIA,SS,0.17,34,0.34,-0.18,135,130,117,20,30,4,0,1,37,6,1,0,13,0,1,14,4,4,1,0.256,0.328,0.316,0.644,75.2
69,한태양,롯데,2B,0.16,27,0.02,0.14,91,90,81,12,19,3,0,0,22,1,5,0,8,1,0,20,0,1,0,0.235,0.311,0.272,0.583,57.4
70,이도윤,한화,SS,0.16,32,0.55,-0.4,90,88,81,12,24,4,2,0,32,11,0,0,6,1,0,12,0,2,0,0.296,0.352,0.395,0.747,104.6
71,유강남,롯데,C,0.14,34,-0.02,0.17,85,85,80,6,20,5,0,2,31,6,0,0,3,1,0,19,1,0,1,0.25,0.282,0.388,0.67,63.8
72,조형우,SSG,C,0.12,29,0.23,-0.11,105,102,92,12,23,4,0,1,30,11,0,0,6,3,0,15,1,3,1,0.25,0.314,0.326,0.64,65.8
73,박지훈,두산,3B,0.11,37,0.34,-0.23,102,96,84,14,21,1,2,0,26,13,3,0,10,2,0,10,1,6,0,0.25,0.344,0.31,0.654,88.3
74,박민,KIA,SS,0.1,31,0.08,0.03,75,74,65,6,14,2,0,1,19,8,1,0,7,2,0,11,1,1,0,0.215,0.311,0.292,0.603,64.4
75,황영묵,한화,2B,0.08,24,0.28,-0.2,66,65,55,10,14,2,1,0,18,12,2,1,8,2,0,10,1,1,0,0.255,0.369,0.327,0.696,103.2
76,서호철,NC,3B,0.07,27,-0.17,0.24,79,76,69,12,15,2,0,1,20,7,1,0,7,0,0,18,1,3,0,0.217,0.289,0.29,0.579,53.2
77,신민재,LG,2B,0.05,39,-0.11,0.16,140,137,118,12,24,1,0,0,25,6,5,1,17,1,0,21,2,3,1,0.203,0.307,0.212,0.519,50.4
78,양의지,두산,C,0.04,39,0.17,-0.13,165,165,136,12,28,5,0,4,45,19,0,0,18,7,0,19,4,0,4,0.206,0.321,0.331,0.652,80.1
79,최정원,NC,CF,0.04,36,0.09,-0.05,103,97,86,14,22,2,0,0,24,4,9,3,7,4,0,19,1,6,0,0.256,0.34,0.279,0.619,67.1
80,안상현,SSG,2B,0.01,27,0.39,-0.38,66,63,53,13,15,3,0,1,21,4,2,1,8,2,0,11,3,3,0,0.283,0.397,0.396,0.793,115.6
81,황성빈,롯데,CF,0,23,0.32,-0.32,79,77,73,12,22,1,2,0,27,3,8,1,4,0,0,14,0,2,0,0.301,0.338,0.37,0.708,90.8
82,오태곤,SSG,1B,-0.05,36,-0.2,0.15,115,115,107,16,26,6,0,4,44,18,4,2,5,2,0,32,3,0,1,0.243,0.287,0.411,0.698,73.5
83,김건희,키움,C,-0.09,39,-0.02,-0.07,137,135,118,7,24,6,0,1,33,15,0,0,15,0,1,45,3,1,3,0.203,0.287,0.28,0.567,57.4
84,손호영,롯데,3B,-0.09,24,-0.21,0.11,66,66,59,10,10,4,0,2,20,6,0,0,7,0,0,15,2,0,0,0.169,0.258,0.339,0.597,53
85,구본혁,LG,3B,-0.14,39,0.45,-0.59,107,101,89,11,27,1,0,0,28,8,2,0,11,1,0,16,1,6,0,0.303,0.386,0.315,0.701,101.5
86,카스트로,KIA,LF,-0.19,23,-0.07,-0.12,93,93,88,15,22,9,0,2,37,16,0,0,4,0,0,22,4,0,1,0.25,0.28,0.42,0.7,77.9
87,손성빈,롯데,C,-0.2,36,0.08,-0.28,85,83,76,9,17,3,0,1,23,8,0,0,6,0,0,18,1,2,1,0.224,0.277,0.303,0.58,49.3
88,최주환,키움,1B,-0.21,37,0.04,-0.26,140,139,126,10,32,5,0,3,46,15,0,0,12,0,0,24,5,1,1,0.254,0.317,0.365,0.682,89.4
89,박찬혁,키움,RF,-0.23,19,0.08,-0.31,64,63,59,5,18,1,0,0,19,3,0,0,3,1,0,14,2,1,0,0.305,0.349,0.322,0.671,82.1
90,김형준,NC,C,-0.25,35,-0.21,-0.04,111,111,99,7,20,2,0,2,28,15,0,0,10,2,0,42,3,0,0,0.202,0.288,0.283,0.571,50.8
91,이강민,KT,SS,-0.32,38,-0.49,0.17,136,134,125,12,27,1,0,0,28,13,0,0,7,1,0,30,3,2,1,0.216,0.261,0.224,0.485,22.3
92,김재환,SSG,DH,-0.32,32,-0.23,-0.09,133,133,108,12,17,1,0,4,30,17,0,0,24,0,0,32,3,0,1,0.157,0.308,0.278,0.586,67.1
93,강승호,두산,1B,-0.38,26,-0.39,0.01,68,68,62,5,13,1,0,0,14,2,0,0,4,2,0,18,3,0,0,0.21,0.279,0.226,0.505,32.6
94,김헌곤,삼성,LF,-0.41,31,-0.25,-0.16,63,63,61,2,17,1,1,0,20,4,0,2,1,0,0,10,2,0,1,0.279,0.286,0.328,0.614,54.7
95,노진혁,롯데,1B,-0.45,38,-0.16,-0.29,138,137,119,8,27,9,0,4,48,15,0,0,13,2,0,30,3,1,3,0.227,0.307,0.403,0.71,83.4
96,최재훈,한화,C,-0.46,25,-0.22,-0.24,73,71,58,6,10,0,0,0,10,6,0,0,6,5,0,13,2,2,2,0.172,0.296,0.172,0.468,32.4
97,한유섬,SSG,RF,-0.52,28,-0.5,-0.03,94,94,74,8,12,1,0,0,13,3,1,0,17,2,1,23,5,0,1,0.162,0.33,0.176,0.506,55.3
98,하주석,한화,2B,-0.55,27,-0.11,-0.43,85,84,78,5,20,2,0,0,22,6,0,0,5,1,0,21,1,1,0,0.256,0.31,0.282,0.592,55
99,채은성,한화,1B,-0.56,28,-0.18,-0.37,115,115,102,10,25,3,0,2,34,12,1,0,8,3,0,21,5,0,2,0.245,0.313,0.333,0.646,69.3
100,양석환,두산,1B,-0.61,27,-0.53,-0.08,100,100,88,5,18,3,0,1,24,6,0,0,8,0,1,29,0,0,4,0.205,0.26,0.273,0.533,36.5
